DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
RW201400000001,1,177649.0625,200360.625,565.4745287000001,637.7676774,7833.418033,0.013957562,1.0,3491.6,3437.9,35.08196721,11.0,0.44678069600000003,0.7698932140000001,0.056579192,0.054047452999999995,0.071707832,1510.26776,24138.5199,31082.36639,35146.86935,1268.090909,1145.909091,140.88251369999998
RW201400000002,2,134433.5938,151620.2813,427.9154194,482.6223448,5754.92973,0.0014899129999999998,-9999.0,3641.0909090000005,3450.363636,26.2303523,11.0,0.435350535,0.751771768,0.04806511,0.036695608,0.005301648000000001,1579.672973,55444.89528,41217.10293,26115.025230000003,1039.636364,862.0909091,107.86792450000002
RW201400000003,3,189576.5,213812.9531,603.4407414,680.5877677,9384.702186,0.009809343,-9999.0,3797.4,3789.6,39.13114754,13.0,0.38586110799999995,0.685661893,0.04852512900000001,0.053639003,0.006138658000000001,1432.434426,39626.422230000004,13870.065980000001,29001.46468,1430.1,1232.8,208.8114754
RW201400000004,4,126238.2891,146470.7969,401.8289544,466.23102689999996,5485.354396,0.001667795,-9999.0,3507.181818,3416.636364,32.57142857,11.0,0.430186668,0.7540893340000001,0.137429799,0.144677605,0.000447909,1591.9697800000001,254.6871277,50446.73522,10328.94956,1108.4,895.1,274.0494505
RW201400000005,5,93373.78125,105311.1641,297.21797680000003,335.2158466,5767.68306,0.037484109,-9999.0,3230.8,3003.1,20.67302452,11.0,0.41808117200000006,0.7378268790000001,0.066183118,0.116138903,0.026332998,1613.751366,20966.89416,65048.579560000006,15599.04552,985.2727273,745.5454545,148.45776569999998
RW201400000006,6,7700.271484000001,8684.714844,612.7681349,691.1076484,6058.8,0.05797723900000001,-9999.0,3053.0,3137.0,34.0,11.0,0.42069719299999997,0.739145921,0.037516676,0.058088746,0.176531233,1596.333333,36685.80243,62948.423310000006,21380.9428,1097.0,864.0,27.86666667
RW201400000007,7,178839.5313,201703.2969,569.2639085,642.0415347999999,8083.1753420000005,0.005808305,-9999.0,3855.916667,3809.583333,36.2739726,13.0,0.37253357299999995,0.6755469270000001,0.048996776,0.047723796,0.036055882000000004,1511.8986300000001,24588.795830000003,35349.37453,17969.57685,1323.583333,1084.833333,204.2493151
RW201400000008,8,155697.4688,175602.6406,495.6004357,558.9605654000001,6902.975138,0.008861439,-9999.0,3818.3,3656.5,36.17679558,11.0,0.392228562,0.697012207,0.04255007400000001,0.042322159000000005,0.035689545,1547.646409,37689.33172,58036.65556,41680.58997,1178.416667,990.3333332999998,106.3812155
RW201400000009,9,44533.39453,50226.77344,3543.8549359999997,3996.9196340000003,5828.375,0.42869790399999996,-9999.0,3053.0,3137.0,41.375,11.0,0.291371082,0.561258674,0.018759467,0.030347882000000003,5.383281507,1618.0625,41014.521089999995,62968.3376,22203.411180000003,1067.0,830.0,18.6875
RW201400000010,10,17143.4082,19335.10938,1364.2290779999998,1538.639117,5630.5625,0.055498335999999995,-9999.0,3779.0,3682.0,37.375,11.0,0.472664917,0.80528049,0.060642604,0.051724009,1.29223499,1588.75,40401.88698,26672.278619999997,11274.40646,1051.0,856.0,63.6875
