"","id","max","min","median","std","wealth","mean"
"1",1,6,0,0,0.6,-0.531405,0.06
"2",2,0,0,0,0,-0.40983,0
"3",3,0,0,0,0,-0.478115,0
"4",4,0,0,0,0,-0.43596,0
"5",5,0,0,0,0,-0.44948,0
"6",6,26,0,6,6.87210728858758,-0.11265,6.08
"7",7,0,0,0,0,-0.39962,0
"8",8,0,0,0,0,-0.19558,0
"9",9,62,7,36,18.7627693891791,2.39554,36.67
"10",10,0,0,0,0,0.05646,0
"11",11,0,0,0,0,-0.233975,0
"12",12,0,0,0,0,-0.45845,0
"13",13,0,0,0,0,-0.643445,0
"14",14,0,0,0,0,-0.50153,0
"15",15,0,0,0,0,-0.49069,0
"16",16,0,0,0,0,-0.54898,0
"17",17,7,0,0,1.14591941825388,-0.41252,0.2
"18",18,0,0,0,0,-0.41903,0
"19",19,0,0,0,0,-0.38006,0
"20",20,8,0,0,2.18812220588311,-0.46062,0.8
"21",21,0,0,0,0,-0.266005,0
"22",22,6,0,0,1.31425748134554,-0.275315,0.3
"23",23,62,0,22.5,18.89616496819,3.14126,27.84
"24",24,6,0,0,1.72574094758797,-0.4128,0.54
"25",25,0,0,0,0,-0.39372,0
"26",26,0,0,0,0,0.08756,0
"27",27,0,0,0,0,-0.53943,0
"28",28,0,0,0,0,-0.49357,0
"29",29,62,10,44,16.1139220814948,2.215415,41.91
"30",30,0,0,0,0,-0.385275,0
"31",31,0,0,0,0,-0.380515,0
"32",32,0,0,0,0,-0.23178,0
"33",33,0,0,0,0,0.19917,0
"34",34,0,0,0,0,-0.555805,0
"35",35,0,0,0,0,-0.38261,0
"36",36,0,0,0,0,-0.32845,0
"37",37,7,0,0,1.44986937760655,-0.35604,0.33
"38",38,0,0,0,0,-0.03633,0
"39",39,0,0,0,0,-0.167385,0
"40",40,0,0,0,0,-0.44719,0
"41",41,0,0,0,0,-0.492,0
"42",42,7,0,0,1.67268609962503,-0.007955,0.49
"43",43,0,0,0,0,-0.5277,0
"44",44,6,0,0,0.6,-0.19927,0.06
"45",45,0,0,0,0,-0.373225,0
"46",46,62,7,36,20.6606149497301,1.860625,36.26
"47",47,0,0,0,0,-0.66092,0
"48",48,0,0,0,0,-0.34676,0
"49",49,0,0,0,0,-0.36711,0
"50",50,0,0,0,0,-0.39113,0
"51",51,0,0,0,0,-0.42701,0
"52",52,59,0,15.5,17.1984113666162,2.70197,23.05
"53",53,6,0,0,1.31425748134554,-0.61453,0.3
"54",54,0,0,0,0,-0.58252,0
"55",55,0,0,0,0,-0.30881,0
"56",56,62,6,17.5,18.3231266354018,2.349945,25.02
"57",57,62,7,35.5,18.2129352412238,1.70097,35.81
"58",58,0,0,0,0,-0.27617,0
"59",59,0,0,0,0,-0.366825,0
"60",60,48,0,10,12.5083568025137,2.667715,14.16
"61",61,0,0,0,0,-0.07593,0
"62",62,0,0,0,0,-0.44492,0
"63",63,0,0,0,0,-0.31336,0
"64",64,0,0,0,0,-0.242095,0
"65",65,0,0,0,0,-0.179475,0
"66",66,0,0,0,0,-0.42851,0
"67",67,25,0,6,6.39946336133986,-0.340905,5.58
"68",68,0,0,0,0,-0.247665,0
"69",69,0,0,0,0,-0.3745,0
"70",70,59,0,16.5,14.8897463193483,2.24541,21.35
"71",71,0,0,0,0,-0.44135,0
"72",72,18,0,0,4.64666710143035,-0.577145,3.62
"73",73,0,0,0,0,-0.40432,0
"74",74,0,0,0,0,-0.430845,0
"75",75,0,0,0,0,-0.424585,0
"76",76,62,6,26,19.4244353037273,3.1974,30.62
"77",77,0,0,0,0,-0.5743,0
"78",78,0,0,0,0,-0.54728,0
"79",79,0,0,0,0,-0.306075,0
"80",80,62,7,30.5,19.5870396234888,2.420615,32.38
"81",81,0,0,0,0,-0.32712,0
"82",82,0,0,0,0,-0.47526,0
"83",83,0,0,0,0,-0.604045,0
"84",84,0,0,0,0,-0.46489,0
"85",85,0,0,0,0,-0.63728,0
"86",86,0,0,0,0,-0.19482,0
"87",87,62,9,46.5,18.8388460690171,2.00301,40.87
"88",88,61,0,19.5,16.5973832670434,2.779135,24.96
"89",89,0,0,0,0,-0.44199,0
"90",90,0,0,0,0,-0.6447,0
"91",91,7,0,0,1.36103792835624,-0.433545,0.31
"92",92,0,0,0,0,-0.369395,0
"93",93,0,0,0,0,-0.23469,0
"94",94,0,0,0,0,-0.447865,0
"95",95,0,0,0,0,-0.38404,0
"96",96,0,0,0,0,-0.43945,0
"97",97,0,0,0,0,-0.496245,0
"98",98,0,0,0,0,-0.43298,0
"99",99,62,11,47.5,16.6424794190085,1.252685,42.76
"100",100,6,0,0,0.6,-0.39515,0.06
"101",101,0,0,0,0,-0.39961,0
"102",102,0,0,0,0,-0.58809,0
"103",103,0,0,0,0,-0.26456,0
"104",104,0,0,0,0,-0.45561,0
"105",105,12,0,0,4.3361179863928,-0.787645,3.69
"106",106,7,0,0,1.47473675103338,-0.4556,0.37
"107",107,61,0,17,17.0578457318063,3.33664,23.86
"108",108,0,0,0,0,-0.36841,0
"109",109,0,0,0,0,-0.630245,0
"110",110,0,0,0,0,-0.22189,0
"111",111,62,7,36,19.5986883708728,2.24166,36.45
"112",112,0,0,0,0,-0.374865,0
"113",113,0,0,0,0,-0.54409,0
"114",114,14,0,0,3.82890389674448,-0.079745,2.19
"115",115,0,0,0,0,0.77875,0
"116",116,0,0,0,0,-0.37708,0
"117",117,0,0,0,0,-0.411275,0
"118",118,6,0,0,0.6,-0.35406,0.06
"119",119,0,0,0,0,-0.407315,0
"120",120,0,0,0,0,-0.35844,0
"121",121,62,9,44,16.8768564261323,1.30537,41.2
"122",122,0,0,0,0,0.572205,0
"123",123,0,0,0,0,-0.479895,0
"124",124,0,0,0,0,-0.401235,0
"125",125,0,0,0,0,-0.27022,0
"126",126,0,0,0,0,-0.560705,0
"127",127,0,0,0,0,-0.57474,0
"128",128,11,0,6,3.99083546099907,1.28826,4.05
"129",129,0,0,0,0,-0.3479,0
"130",130,0,0,0,0,-0.59506,0
"131",131,62,0,25,20.7159822164415,2.64246,30.14
"132",132,0,0,0,0,-0.260125,0
"133",133,0,0,0,0,-0.44385,0
"134",134,62,8,47.5,18.9085411730501,1.92084,40.68
"135",135,0,0,0,0,-0.40931,0
"136",136,0,0,0,0,-0.29763,0
"137",137,11,0,0,3.75420303180854,-0.31063,2.37
"138",138,7,0,0,2.13853532431273,-0.46111,0.82
"139",139,0,0,0,0,-0.51493,0
"140",140,0,0,0,0,-0.55042,0
"141",141,7,0,0,0.917341349506906,-0.504985,0.13
"142",142,0,0,0,0,-0.451445,0
